"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"7441699355","826349","15909","16 nov 2023 12:00","48:19","2899","43-34","43,34","Radiant","BLEED","DJ, Masaros, FiXeRs smurf, JaCkky, Taiga","IHC","se, Ace12, elevennN, Sanctity-, X123"
"7441689022","826331","15909","16 nov 2023 11:41","1:19:04","4744","46-33","46,33","Radiant","Natus Vincere","Mellojul, Malady.LFT, Nefrit, Shigetsu, Daze","Team Klee","Zayac, destroyed, Young G, 6ym_6ym, Dream`"
"7441663841","826346","15909","16 nov 2023 11:18","40:46","2446","36-11","36,11","Radiant","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk","Moneymakers","Mannik, Bignum, CemaTheSlayeR, Palantimos, Lukas"
"7441643188","826344","15909","16 nov 2023 11:00","33:09","1989","9-32","9,32","Dire","D2 Hustlers","Davai Lama, Stoic, 9Class, Shad, Stojkov","Team Liquid","INSaNiA, Boxi, 33, MiCKe, Nisha"
"7441640686","826342","15909","16 nov 2023 11:00","32:54","1974","21-9","21,9","Radiant","Team Tickles","Dukalis, , Nikko, Lorenof, Hustla","Nightshade Esports","Kyzko, Mali burgos, miniorc00, CodeX, seyokalash"
"7441620657","826331","15909","16 nov 2023 10:37","35:45","2145","28-11","28,11","Radiant","Natus Vincere","Mellojul, Malady.LFT, Nefrit, Shigetsu, Daze","Team Klee","Zayac, destroyed, Young G, 6ym_6ym, Dream`"
"7441596676","826327","15909","16 nov 2023 10:13","23:19","1399","6-33","6,33","Dire","Eagle","ButterflyEffect, Tz., Mianmian, ukiyo, 项羽","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa"
"7441557377","826334","15909","16 nov 2023 09:32","51:51","3111","22-19","22,19","Radiant","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk","Moneymakers","Mannik, Bignum, CemaTheSlayeR, Palantimos, Lukas"
"7441542655","826327","15909","16 nov 2023 09:16","32:12","1932","20-12","20,12","Radiant","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa","Eagle","ButterflyEffect, Tz., Mianmian, ukiyo, 项羽"
"7441532680","826325","15909","16 nov 2023 09:05","39:47","2387","17-28","17,28","Dire","BLEED","DJ, Masaros, FiXeRs smurf, JaCkky, Taiga","Blacklist Rivalry","Raven, Gabbi, Abed, Tims, BDz"
"7441527808","826331","15909","16 nov 2023 09:02","59:08","3548","52-33","52,33","Radiant","Team Klee","Zayac, destroyed, Young G, 6ym_6ym, Dream`","Natus Vincere","Mellojul, Malady.LFT, Nefrit, Shigetsu, Daze"
"7441526543","826326","15909","16 nov 2023 08:59","27:30","1650","13-35","13,35","Dire","IHC","se, Ace12, elevennN, Sanctity-, X123","Talon","Ws`, Yowe, Jhocam, ponyo, Akashi"
"7441525835","826328","15909","16 nov 2023 08:58","41:42","2502","46-20","46,20","Radiant","Team Zero","Iceice, Beyond, Cty, 7e, Zzq","Team trust","に冷の少年でる雨雨, xzj, V1NECY, 红白灵梦, -----"
"7441474483","826328","15909","16 nov 2023 08:00","29:43","1783","38-8","38,8","Radiant","Team Zero","Iceice, Beyond, Cty, 7e, Zzq","Team trust","に冷の少年でる雨雨, xzj, V1NECY, 红白灵梦, -----"
"7441472022","826327","15909","16 nov 2023 07:56","45:56","2756","28-17","28,17","Radiant","Eagle","ButterflyEffect, Tz., Mianmian, ukiyo, 项羽","G2 x iG","XNova, JT-, Monet, NothingToSay, BoBoKa"
"7441469736","826326","15909","16 nov 2023 08:00","32:41","1961","14-29","14,29","Dire","IHC","se, Ace12, elevennN, Sanctity-, X123","Talon","Ws`, Yowe, Jhocam, ponyo, Akashi"
"7441468810","826325","15909","16 nov 2023 08:00","30:45","1845","31-20","31,20","Radiant","Blacklist Rivalry","Raven, Gabbi, Abed, Tims, BDz","BLEED","DJ, Masaros, FiXeRs smurf, JaCkky, Taiga"
"7441383995","826275","15909","16 nov 2023 06:06","43:46","2626","32-42","32,42","Dire","Go along","Victoria, TK, Meliodas, Reol., yMo","Team Bright","mode：Ame, , phoenix, Irving, imitator"
"7441352770","826274","15909","16 nov 2023 05:24","28:49","1729","5-27","5,27","Dire","Ignite","Deth, QYQX, Ponlo, Dust, Ulu","Team Aster","ShengSi, Luv, Fantasy, Blood, (～￣▽￣)～"
"7441337002","826270","15909","16 nov 2023 05:03","26:11","1571","40-9","40,9","Radiant","Aurora.1xBet","Jabz, Oli, Armel, Q, 23savage","Neon Esports","Roddgeee, raging-_-potato, Chidori~ , Ken, PlayHard"
"7441334786","826273","15909","16 nov 2023 05:00","34:26","2066","37-13","37,13","Radiant","Geek Fam","Skem, Mac, MGA ANIMALS, JingxD.LFT, Natsumi-","Execration","Cml, Bob, Tino, Palos, Shanks"
"7441334471","826275","15909","16 nov 2023 04:59","42:03","2523","30-13","30,13","Radiant","Go along","Victoria, TK, Meliodas, Reol., yMo","Team Bright","mode：Ame, , phoenix, Irving, imitator"
"7441294133","826275","15909","16 nov 2023 04:04","38:08","2288","25-23","25,23","Radiant","Team Bright","mode：Ame, , phoenix, Irving, imitator","Go along","Victoria, TK, Meliodas, Reol., yMo"
"7441291411","826274","15909","16 nov 2023 04:00","33:46","2026","6-22","6,22","Dire","Ignite","Deth, QYQX, Ponlo, Dust, Ulu","Team Aster","ShengSi, Luv, Fantasy, Blood, (～￣▽￣)～"
"7441286809","826273","15909","16 nov 2023 04:00","32:45","1965","26-6","26,6","Radiant","Geek Fam","Skem, Mac, MGA ANIMALS, JingxD.LFT, Natsumi-","Execration","Cml, Bob, Tino, Palos, Shanks"
"7441284219","826270","15909","16 nov 2023 04:00","31:15","1875","36-8","36,8","Radiant","Aurora.1xBet","Jabz, Oli, Armel, Q, 23savage","Neon Esports","Roddgeee, raging-_-potato, Chidori~ , Ken, PlayHard"
"7368610091","813268","15737","06 oct 2023 05:02","23:48","1428","27-3","27,3","Radiant","Nemiga Gaming","Xibbe, pantomem, , Hellscream, Malr1ne","Team Tickles","Dukalis, Shad, BOOM, Adzantick, Hustla"
"7368493678","813268","15737","06 oct 2023 04:13","23:28","1408","15-25","15,25","Dire","Team Tickles","Dukalis, Shad, BOOM, Adzantick, Hustla","Nemiga Gaming","Xibbe, pantomem, , Hellscream, Malr1ne"
"7368344714","813268","15737","06 oct 2023 03:06","41:39","2499","33-21","33,21","Radiant","Nemiga Gaming","Xibbe, pantomem, , Hellscream, Malr1ne","Team Tickles","Dukalis, Shad, BOOM, Adzantick, Hustla"
"7367083453","813026","15737","05 oct 2023 07:28","36:23","2183","32-14","32,14","Radiant","Nemiga Gaming","Xibbe, pantomem, , Hellscream, Malr1ne","Moneymakers","Bignum, CemaTheSlayeR, 12cat, Lukas, Egor"
"7366934646","813026","15737","05 oct 2023 06:21","36:03","2163","7-25","7,25","Dire","Moneymakers","Bignum, CemaTheSlayeR, 12cat, Lukas, Egor","Nemiga Gaming","Xibbe, pantomem, , Hellscream, Malr1ne"
